CompanyId,Text
26659981,Provozujeme sdružení na podporu rozvoje regionu a rozvoje občanských iniciativ na místní a regionální úrovni. Snažíme se zvýšit ekonomickou prosperitu a kvalitu života na tomto území. Organizujeme různé společenské a kulturní akce pro členy i veřejnost.
28100603,"Servis dýchací techniky, tlakové zkoušky nádob na plyny, servis záchranářské techniky."
71174371,"Naše gynekologická ordinace se specializuje na gynekologii, porodnictví, ultrasonografii. Jsme vybaveni ultrasonografickým přístrojem nejvyšší třídy, včetně Dopplerometrie s barevným mapováním, 3D, 4D, možnost záznamu na CD, kardiotografem a kolposkopem. Čekárna i ordinace jsou klimatizované."
15487211,"Zabýváme se kovoobráběním všech kovových a nekovových materiálů na CNC strojích, soustružením velkých obrobků, frézováním, vrtáním, dělením materiálů a zajištěním dopravy. Obrábíme hřídele, řemenice, kladky, ozubená kola, čepy, příruby, drážky, kusově i velké série."
87128292,Nabídka služeb realitního makléře.
74456008,"Zabývám se dodávkou, instalací a správou počítačové techniky. Zajišťuji tvorbu internetových stránek, e-shopů, návrhy a prodej počítačů do kanceláří."
10070311,"Nabízím veškeré truhlářské práce, montáže, vestavěný nábytek, kuchyně, pokládku dřevěných podlah, pergoly, altány a dětská hřiště."
61945056,Výroba teplotních i průtokových čidel.
10361855,Lakování automobilů pomocí technického zařízení. Oprava laků.
88297985,"Máme generální praxi, pomůžeme Vám ve všech oblastech práva. Mezi naše specializace však patří právo pracovní, občanské, obchodní, rodinné, právo nemovitostí a trestní."
28364970,Pronájem a správa vlastních nebo pronajatých nemovitostí.
48202550,"Nabízíme domácí spotřebiče, bílé zboží, lednice, mrazničky, pračky, myčky, sporáky, sklokeramické desky, dřezy, televizory. Jsme prodejci značek: AEG, Amica, ARDO, BOSCH, Baumatic, CANDY, Electrolux, FAGOR, FRANKE, Gorenje, LG, MORA, SONY, Whirlpool."
74653326,Nabízíme teplou a studenou kuchyni i alkoholické a nealkoholické nápoje. Možnost posezení na zahrádce a pořádání společenských akcí.
75883767,Zabývám se realitní činností.
1828401,"Pomůžeme Vám při řešení Vašich dopravních přestupků, kdy dle naší statistiky je 7/10 přestupků nedostatečně podloženo důkazy. V těchto případech jsme schopni celý případ zastavit a klient díky tomu nemusí hradit pokutu, ani se mu nenačítají trestné body do karty řidiče."
75092239,"Zajišťuji diagnostickou a léčebnou péči a preventivní prohlídky zdravotního stavu. Provádím aplikaci očkování a odběry biologického materiálu na rozbory. Provádím testy CRP, EKG, INR a Uritest."
27400883,"Provozujeme zakázkovou kovovýrobu. Nabízíme řezání laserem z oceli, nerezu či těžkých a lehkých slitin včetně povrchových úprav, například lakování či žárové a galvanické zinkování. Poskytujeme možnost svařování včetně odporového svařování plechových dílů do síly plechu až 3mm."
4284755,"V naší vinotéce nabízíme řízené degustace se sommelierem. Naleznete u nás jako vína od moravských výrobců, tak od zahraničních."
47690011,"Poskytujeme komplexní služby v oblasti vedení účetnictví, daňové evidence, zpracování mezd, daňových přiznání a činnosti účetních poradců pro malé a střední firmy. V naší nabídce jsou zahrnuty dále individuální konzultace pro studenty na přípravu zkoušek z účetnictví."
10138951,Prodej papírenského zboží.
7354592,V kosmetickém salonu Provence Beauty si odpočinete při kosmetických i kadeřnických procedurách. K tomu si užijete skvělý relax umocněný kouzelným interier.
63834669,"Provozování chirurgické ambulance. Provádíme klinická vyšetření, ošetření ran, popálenin a úrazů, poskytujeme traumatologickou péči a léčbu bolesti břicha. Ošetřujeme frakčním laserem, laserová liposukce, kryolipolýza a nutriční poradna. Poskytujeme operace křečových žil laserem."
2959615,"Daňový poradce poskytuje právní pomoc a finančně ekonomické rady ve věcech daní, odvodů, poplatků a jiných podobných plateb, jakož i ve věcech, které s daněmi přímo souvisejí."
26781158,"Poskytujeme komplexní spisovou službu: správa a zabezpečení dokumentů, archivace, digitalizace, diskrétní skartace, poradenská služba, DMS. Poskytujeme obalovou techniku, regálovou techniku, zřizujeme a spravujeme nové spisovny."
75537249,"Nabízíme architektonické návrhy interiérů a exteriérů či konzultační činnost v architektuře i stavitelství. Navrhujeme mobiliáře. Zajišťujeme terénní úpravy, tvorbu 3D modelů, vyhledávací i prostorové studie, návrhy osvětlení, zastínění a podobně."
72803193,"Nabízíme velkoobchodní a maloobchodní prodej piva Rebel, Chotěboř, Bernard, Hubertus, Svijany, Plzeň, Kozel, Radegast, Gambrinus, Černá Hora, Ježek, Protivín, Rychtář či Klášter a vín Pavlovín. Náš sortiment zahrnuje také nealkoholické nápoje, chipsy a džusy. Zásobujeme bary a prodejny."
13257803,Provádím opravy praček a myček.
3991164,"Jsme společnost, která vede účetnictví mnoha drobných a středních firem, pomáháme jim pochopit čísla v jejich účetním deníku a posouváme jejich účetnictví za hranice doposud sklíčených možností."
15724166,Zakázková výroba kuchyní a nábytku.
74640470,Výuka a výcvik žadatelů o řidičské oprávnění skupin A a B.
68854188,Provozování ordinace praktického lékaře pro dospělé.
4679521,"Vše pro anální sex - anální kolíky všech druhů, tvarů a materiálů"
9657002,Provoz chráněné dílny.
72074817,Nabízím služby znalce v oblasti ekonomiky. Specializuji se na oceňování movitých věcí.
26811081,Provozujeme čerpací stanici.
87009307,Nabízím tvorbu webových stránek a vývoj webových aplikací. Specializuji se na PHP a Zend Framework 1. Poskytuji konzultace.
2480697,MUDr. Karel Jágr provozuje urologickou ambulanci v Kolíně. Poskytujeme léčebnou a preventivní péči.
5741769,Internetový prodej koření.
15267687,"Zabýváme se výrobou pleteného zboží, pánských a dámských halenek, svetrů a vest. Vyrábíme ponča, kamaše, šaty a mnoho dalšího. Oblečení lze vyrobit i v nadměrných velikostech. Na přání vyrábíme reklamní a pracovní svetry, svetry s aplikací, popřípadě s výšivkou, pro reklamní i bezpečnostní agentury."
26795388,"Specializujeme se na prodej konstrukčních a nástrojových ocelí a mědi pro elektroerozivní obrábění. Provádíme dělení a zkracování tyčí, profilů a barevných kovů pásovými pilami, pálení plechů kyslíko-acetylenovým plamenem. Zajistíme dopravu po celé ČR."
41343972,Nabídka projektování a poradenské činnosti v oblasti pozemních staveb.
75738368,Obkladačské práce Vintrlík
41991613,Nabízím služby profesionálního fotografa se specializací na reportážní fotografie a svatby.
4976703,Zabýváme se výrobou kabelů.
75192586,"Nabízíme kurzy znakování pro slyšící nemluvňata. Poskytujeme možnost zúčastnit se zkušebních lekcí. Ke každému přistupujeme individuálně. Kurz pro rodiče s dětmi je vhodný pro děti od šesti měsíců do doby, kdy ještě nemluví. Znaky procvičujeme pomocí známých písniček a říkadel."
64017958,Provádím zednické a pokrývačské práce.
4032616,"Výroba zámečnických konstrukcí z nerezové i konstrukční oceli, výroba a montáž interiérových a exteriérových ocelových schodišť a zábradlí."
49887041,Výroba a prodej dekorativních skleněných květin.
25248421,"Poskytujeme sociální služby s cílem podpořit samostatnost, nezávislost a společenské uplatnění zrakově postižených osob."
65041071,Provozování taxi služby v okrese Pelhřimov a okolí.
11823011,"Prostřednictvím organizace výchovných a vzdělávacích akcí a dětských táborů, zaměřených převážně na Airsoft a Military akce, je naším cílem vhodnou formou rozvíjet schopnosti dětí a teenagerů v oblasti sportovních činností a utvářet jejich charakter."
7881541,HSQ-Centrum Louny
18683851,Bakterie a enzymy
61798011,"Nabízíme prodej ryb, drůbeže a zvěřiny."
2780577,"Nabízíme ubytování v 18 pokojích se 48 lůžky. Pokoje s vlastním sociálním zařízením, televizí. K dispozici je připojení na internet. Dále hotel nabízí dva salonky o kapacitě 30 a 60 míst pro rodinné oslavy, firemní večírky, semináře, konference, školení."
8316007,"Realizace architektonických studií, projektové dokumentace, stavebních povolení, návrhy interiérů, urbanistické a územní plánování."
1605259,"Prodej oblečení značek Aeronautica militare, Met, Fred mello, Maison, Italian rugby style a dalších."
28407202,"Aditus - služby v oblasti pracovního práva - konzultace, kurz na míru, kontrola pracovních smluv, služba pro firmy - Pronajmi personalistu"
29390982,Provoz gynekologické ordinace.
443654,Sdružování obcí Baráčníků.
29151058,"Provozujeme autoservis a pneuservis. Nabízíme kompletní služby pro automobilisty, včetně přípravy a provedení STK a emisí. Zajistíme montáž doplňků, prodej náhradních dílů, klempířské, lakýrnické a motorkářské práce, servis klimatizací a výměnu autoskel."
25851276,Vydávání technických časopisů o stavebnictví. Vydáváme časopisy Konstrukce a Silnice Železnice. Pořádání odborných seminářů a konferencí.
76343332,"Prodej značkové kosmetiky Lancome, Clinique, Nyx, Estee Lauder a další. Nabídka šperků s komponenty Swarovski. Do našeho sortimentu patří náušnice, náhrdelníky, náramky, prstýnky, sady šperků. Nabízíme šperky z chirurgické oceli. Dále poskytujeme lesky či balzámy na rty, oční stíny, pudry a další."
1763113,"Půjčujeme aquazorbing. Vodní Válec - Aquaroller. Prodáváme a půjčujeme aquazorbingové koule, bazény a příslušenství. Pronájem skákacích hradů a sumo ringu pro dětské dny, školní, reklamní, sportovní, soukromé, kulturní a firemní akce, poutě a festivaly. Zajišťujeme prodej a pronájem."
72513128,"Výkopové práce minibagrem. Hloubka kopání do 2 metrů. Přípojky,bazény, vjezdy,zahrady atd."
87416271,Chcete mít lepší držení těla? Chcete mít mobilní klouby a páteř? Chcete mít pevný střed těla? Díky cvičení pilates to získáte.
75186705,"Celoroční prodej palivového dřeva dle Vašeho přání. Doprava dřeva na Vámi určené místo. Používáme automobil s hydraulickou rukou. K dispozici štípaná polena - dle zadaných rozměrů, rizikové kácení, přibližování kolovým traktorem. Výroba dřevěných plotů, lávek, houpaček. Práce s motorovou pilou."
73236446,"Jsme obchodní a montážní firma, která dodává a montuje plastová okna a dveře na klíč, garážová vrata, venkovní žaluzie, venkovní rolety a to v kompletním rozsahu. Ke každé zakázce přistupujeme individuálně. Neváhejte nás kontaktovat."
88644073,"Prodej vozů značky Škoda. Jedná se o vozy předváděcí, manažerské, referenční nebo po ukončeném operativním leasingu. Možnost financování a pojištění. Nabízíme také další značky koncernu Volkswagen (Seat a Audi). Vozy jsou zakoupeny v ČR, po prvém majiteli s ověřeným původem a pravidelným servisem."
24279196,"Nabízíme služby soukromé oční ordinace.Specializujeme se na vyšetření, prevenci a léčbu glaukomu (zeleného zákalu), vyšetření šedého zákalu, vyšetřování dětí od kojeneckého věku, prevenci a léčbu tupozrakosti a šilhání.Provádíme plastické operace očních víček a okolí.První sobotu v měsíci máme ordinační hodiny od 09:00-12:00 h.Kontaktní osoba:MUDr. Věra Lehká telefon: 312242932 , email: ordinace@bystrozraky.cz"
15005526,Sportovní činnosti
45332207,Ordinace praktického lékaře pro dospělé.
26215021,Jsme výhradní distributor a prodejce obkladových pásků Izoflex.
2396459,Zabýváme se sběrem a analýzou dopravních dat. Vytváříme databáze dopravní infrastruktury a vydáváme odborné publikace.
87040778,Jsme mladé vinařství s tradicí čtyř generací
87582830,Provoz květinářství.
72626411,Potřebujete se rozmluvit a získat sebevědomí? Chcete se jazyku věnovat intenzivně a do hloubky? Pomáhám lidem najít si cestu k cizímu jazyku.
15752445,"Nabízíme opravy a servis výrobků spotřební elektroniky, satelitní techniky, LCD a plazmových televizí."
16819713,"Zabýváme se dodávkou a montáží kotelen, topení, solárních systémů a kotlů pro spalování biomasy. Nabízíme zdravotní instalace z vícevrstvého potrubí spojovaného lisováním násuvných objímek. Zajišťujeme výstavbu koupelen na klíč."
70941327,Poskytujeme služby soukromé praxe interního lékařství.
8086087,"Komplexní právní služby poskytované v českém a anglickém jazyce v oblasti trestního, občanského, rodinného, obchodního, pracovního, insolvenčního, exekučního a správního práva. Rozvod, péče o děti, vypořádání SJM. Převody nemovitostí. Zastupování v trestním, přestupkovém i občanském soudním řízení."
46159,Poskytujeme služby bytového družstva a správu bytového fondu. Nabízíme volné bytové a nebytové prostory.
68903138,"Dovoz automobilů z Německa na zakázku. Zajistíme výběr, konzultaci a dovoz automobilu dle požadavků, prohlídku vozidla či vyřízení formalit v zahraničí. Dále zajišťujeme pravidelnou kontrolu a údržbu vozidel, výměnu filtrů a oleje, diagnostiku, konzultaci a poradenský servis."
18231853,"Provozujeme sdružení zaměřené na provádění myslivosti v honitbě. Zajišťujeme revitalizace krajiny a zlepšujeme životní prostředí. Propagujeme myslivost a ochranu přírody. Zaměřujeme se na chov, ochranu, péči a vypouštění zvěře. Snažíme se zajistit odbornou úroveň našich členů."
26895447,"Nabídka kurzů kineziologie, systému Jednoty, kineziologie Světla a řešení rodinných a systematických konstelací. Pořádání pobytových seminářů u moře."
64708047,"Ubytování ve venkovském stylu v krásném prostředí Českého Švýcarska. Nabízíme dva dvoulůžkové a jeden čtyřlůžkový pokoj, všechny s vlastním soc. zařízením. Autobusová zastávka 50 m - směr Hřensko Soutěsky, Pravčická brána, Belveder Labská stráň, Jetřichovice, Česká Kamenice, Děčín."
45551448,"Nabídka brašnářských prací. Zajišťujeme opravy obuvi, tašek, kabelek i montérských brašen. Nabídka patentování bund, výměny držadel, našívání zipů do tašek i obuvi."
71784331,Provozuji nabíjecí stanici pro elektromobily s typem zásuvky 3P 16A 230V.
74306766,"Zprostředkujeme povinné ručení, havarijní, úrazová a životní pojištění, pojištění staveb a rodinných domů. Nabízíme i pojištění odpovědnosti za škodu, přerušení provozu, přepravy zásilek, lesů, veletrhů a výstav i stavebně montážní pojištění."
66201080,Nabízím právní služby se zaměřením na občanské a obchodní právo. Advokátní služby poskytuji také v anglickém a německém jazyce.
4713508,"Zajišťujeme ostrahu na kulturních a kulturně zábavných akcích (plesy, koncerty, zábavy, oslavy narozenin)."
14163331,"Oficiální zastoupení značek YCF, STOMP a WPB. Prodej originálních náhradních dílů pro pitbike YCF a neoriginálních pitbike dílů pro většinu pitbike. Dále se specializujeme na záruční i pozáruční servis pitbike YCF, STOMP a WPB. V nabídce naleznete také veškeré vybavení, příslušenství a oblečení."
27013677,Provoz sportovního klubu se zaměřením na baseball a softball.
70772177,"Pracuji s obchodníky, kteří se potýkají s odmítáním klientů a zákazníků v telefonu. Absolventi mých školení zvyšují svou úspěšnost o 20-30%. Podporuji manažery a firmy prostřednictvím konzultací zaměřených na vedení obchodních týmů při získávání nových zákazníků."
572802,První písemná zpráva pochází z roku 1370. Obec se nachází v nadmořské výšce 422 metrů. Poskytování služeb Czech POINTu. V obci je knihovna. Pořádáme společenské a kulturní akce.
16872665,"Katalog plný hraček pro kluky, holky i dospělé"
17146461,Nabízím aroma-terapeutickou masáž s možností čerpání energie skrze Theta Healing.
28488016,"1,3 milionů zákazníků se na nás může spolehnout. Aby ve vaší domácnosti vše fungovalo jak má, nepotřebujete jen odebírat energie, plyn nebo elektřinu. Potřebujete partnera, který garantuje kvalitní služby a nejmodernější řešení. A právě v tom jsme doma. U vás doma."
11384212,Internetový prodej loveckých potřeb.
42183642,Poskytování pohřebních služeb.
48244376,Rostlinná a živočišná výroba.
1723588,"Nabízíme opravářské, servisní a montážní práce stacionárních i technologických linek. Zajišťujeme kovovýrobu a sváření černého i nerezového materiálu. Vyrábíme ocelové konstrukce, ploty, přístřešky, schodiště, zábradlí a vjezdové branky."
8104069,"Obchodní centrum, kde se můžete bavit nakupováním. Více než 60 značkových obchodů, restaurací, kaváren, dětského koutku, Tesco Hypermarket. Možnost parkování zdarma."
76266524,"Nabízím kompletní ošetření biokosmetikou značky Syncare. Provádím barvení řas a obočí, depilaci, parafínové zábaly a zapracování séra iontoforézou a čištění pleti ultrazvukouvou špachtlí. Zajišťuji chemický peeling."
72972378,Provádím klempířské a pokrývačské práce.
67732615,"Psychotesty pro řidiče, bez stresu, bez čekání. Termíny objednání do týdne, testujeme i o víkendu. Můžete se objednat telefonicky nebo e-mailem."
60340606,Praktický lékař stomatolog.
87569833,Nábytek na zakázku z masivu a lamina.
3621294,"Provozujeme čajovnu, která obývá prostory někdejšího atomového krytu."
46356584,"Naše společnost se úspěšně věnuje výrobě extraktů a destilátů z léčivých a aromatických rostlin již několik desetiletí. V současné době nabízíme výrobu z více než 150 druhů aromatických a léčivých rostlin. Nabízíme vysoce kvalitní silice, jejichž výroba patří k naší dlouholeté tradici. Silice jsou hojně užívány v kosmetickém a potravinářském průmyslu. Zabýváme se výrobou bylinných balzámů, masážních emulzí, destilátů, aromat, silic, extraktů z léčivých, aromatických a kořeninových rostlin.Výrobky:• rostlinné extrakty z léčivých a aromatických rostlin• silice a destiláty• masážní balzámy• masážní emulze - Valerie• Thermocompress - universal _"
86918419,"Naše společnost realizuje kompletní služby v oboru lešení - od návrhu po realizaci montáže, demontáže včetně pronájmu a dopravy trubkového, rámového, prostorového lešení po celé ČR. Historické památky a objekty, teplárny a elektrárny, věže, střechy, schodiště, průmyslové areály, fasády, mosty."
25427890,"Nabídka reklamních spotů, komentářů, ozvučení koncertů či kulturních i sportovních akcí."
22836373,"Výuka karate pro děti i dospělé. Nabízíme bojové sporty: karate, kickbox, aikido, mastro defence, system."
1089340,Nabídka oddlužení dle insolvenčního zákona včetně konzultace. Specializace na osobní bankrot a ochranu před věřiteli.
63481260,Výroba různých druhů sýrů.
41325176,"Zabýváme se výrobou, montáží a opláštěním ocelových konstrukcí a hal, čerpacích stanic pohonných hmot, autosalónů, podpůrných konstrukcí."
6579141,Provozujeme nadační fond se zaměřením na podporu vzdělávání studenů gymnázia Na Vítězné pláni a rozvoj společenských aktivit.
8167265,"Provádíme zednické práce všech druhů, zemní a demoliční práce se stroji i ručně. Také provádíme úklidové práce i větších budov. Nabízíme malířské práce, rekonstrukce koupelen, chat, rodinných domů, zateplení všech druhů zateplovacích systému aj."
15090183,"Zpracováváme statické posudky. Zabýváme se projekční činností a permanentními záchytnými systémy. Nabízíme stavební dozor. Zateplujeme fasády, instalujeme reklamní bannery, kácíme stromy a odstraňujeme příčiny zatékání."
535222,Sdružujeme chovatele koní.
26276372,"Dodáváme měniče frekvence pro napájení či standardní šnekové, čelní i kuželočelní převodovky včetně variátorů pro mechanickou regulaci otáček. Dále nabízíme dodávky a rekonstrukce pohonů řetězových podavačů paliva i dodávky pohonů pro regulaci otáček, pro drtiče i pro cihelny a dřevařský průmysl."
7633351,Nabízíme on-line kurzy obličejové jógy.
26533782,Možnost výukových kurzů monoski pro zdravotně postižené každé věkové kategorie.
28940547,Provoz stomatologické ordinace. Nabídka dentální hygieny.
69445044,"Prodej, servis pronájem renovace, repase: kopírky, faxy, tiskárny, tonery, inkousty, cartridge, náplně. MINOLTA, HAWLETT - PACKARD, CAN0N, KYOCERA - MITA, PANASONIC, OKI. Rozvoz po Plzni. Rychlý servis."
60275863,"Mateřská škola pro 89 dětí s jídelnou zajišťuje logopedickou péči a nabízí výuku hry na zobcovou flétnu a plavecký kurz. Organizujeme návštěvy divadelních představení, koncertů, karnevalová představení a další akce pro děti i jejich rodiče. Snažíme se naučit dítě samostatnosti a tvořivosti."
73893072,"Nabízím masáže regenerační, zdravotní, uvolňující a další. Poskytuji reflexní terapii, baňkování, výklad karet, homeopatické a další poradenství."
75616548,"Zakázková výroba nerezového a ocelového zábradlí, schodišť, bran, vrat, mříží, ocelových konstrukcí. Vyrobíme taktéž ploty, okenní mříže, balkony, terasy, schody, krby, grily, krbové nářadí, svícny, svítidla, bytové doplňky, kliky, panty, zahradní nábytek a další."
60279419,"Vyrábíme a prodáváme bižuterii s použitím krystalů Swarovski. Nabízíme náušnice, náhrdelníky, řetízky, náramky, prsteny a odznaky."
46364099,"Nabízím elektroinstalační práce, revize, měření, regulaci a montáž tepelných čerpadel. Instaluji hromosvody."
45506809,Zajišťujeme nákladní dopravu.
60605847,"Nabízím autodopravu dodávkovými vozy do 3,5 tuny."
68851456,"Poskytujeme právní služby jak při přípravě smluvních dokumentů a jiných právních úkonů, tak i v případech uplatňování nároků z nich plynoucích. Nabízíme advokátní služby v oblastech občanského, pracovního či trestního práva."
45607249,"Provozujeme maloobchod s potravinami, drogistickým zbožím, včetně kosmetiky. Dále je v sortimentu také papírenské zboží, noviny a časopisy. Jsme součástí sítě Eso Market."
48675873,"Zabývám se výrobou oděvů. Při výrobě vrchního ošacení vycházíme převážně z úpletových materiálů různých gramáží a složení. Nejčastěji používaným materiálem je viskóza s elastanem. Nabízím módu jak streetovou, tak i elegantní společenské šaty. Nabízím i oděvy nadměrných velikostí s líbivým vzhledem."
3731197,Vyrábíme špičkové ultrazvukové senzory pro evropský i globální trh.
63162652,Restaurace. Pronájem prostor. Školení a semináře.
3087026,"Cílem unie je rozvíjet studentský život na VŠE. Pomáháme studentům získat přehled o mimoškolních aktivitách a seznámit je s možnostmi, které mají."
24242918,Náš legendární šéfkuchař Sarkar přijel do Prahy se svým kulinářským uměním a léty zkušeností skvělého cateringu.
87613646,"Provádíme veškeré stavební práce, rekonstrukce bytů i domů, novostavby, základové desky včetně přípojek, pokládku zámkové dlažby a oplocení objektů."
46970126,"Operační systémy, Systémové a vývojové počítačové program"
7369905,"Maloobchodní prodej potravin. Nabízíme výrobky značek Ferrero, Opavia, Kraft Foods, Hamé, Mlékárna Kunín, Olma, Jemča a další. V sortimentu naleznete mléčné i masné výrobky, ovoce, zeleninu, koření, slané a sladké pečivo. Zakoupíte zde alkoholické i nealkoholické nápoje."
26449251,"Poskytování služeb v oblasti podnikového poradenství, technologií a outsourcingu podnikových procesů."
25898175,Provádění budování komunikací a úprav vodních toků i vodohospodářských staveb.
11515279,Prodej a montáž žaluzií a doplňků.
4688295,"Dodáváme a servisujeme moderní ambulantní program SmartMEDIX, který je určen pro vedení ordinace lékaře. Program bez placených modulů a reklam. Provádíme individuální i hromadné školení programu SmartMEDIX. Dodáváme PC a jiné vybavení ordinací. Spravujeme počítačové sítě."
12889202,"Velkoobchod, maloobchod nabízející elektronické zabezpečení automobilů, firem i bytů, kamerové systémy, pohony vrat a bran, domácí telefony a videotelefony, vše také on-line."
9521305,"Nehtové studio, které používá pouze kvalitní materiál - nehtová modeláž, manikúra, parafínové zábaly, gel lak. Profesionální přístup a péče."
26227673,Prodej a servis vozů Hyundai a náhradních dílů či příslušenství pro vozy Hyundai a Škoda. Dále prodej kompletního sortimentu všech druhů filtrů na osobní i nákladní vozidla a zemědělské stroje.
26805243,Prodej potravin.
4827872,Ordinace praktického lékaře.
41166370,Provádím veškeré čalounické práce a opravy starožitného nábytku.
11182377,"Internetový prodej titanového nádobí BAF. Nabízíme litinové, nerezové i ocelové nádobí, nože, doplňky do kuchyně, cukrářské potřeby, příbory, talíře, sklo, kapsáře, silikonové podložky, náhradní díly, skleněné pařáky, parní sestavy, hrnce, pekáče či pánve."
29321085,"Nabízíme široký sortiment zdravých potravin. V bio, raw a vegan kvalitě. Prodáváme také kvalitní výrobky z regionálních farem. BIO mléčné produkty - kozí, kravské, ovčí. Celozrnné kváskové pečivo. Ekologickou drogerii a bio kosmetiku."
65747232,"Internetový prodej vybavení kuchyně. Prodáváme kuchyňské dřezy granitové, kuchyňské dřezy nerezové i skleněné, kuchyňské baterie, drtiče odpadu, digestoře, odpadkové koše na tříděný odpad a doplňkový kuchyňský sortiment v různých cenových kategoriích od široké škály výrobců."
60447869,"Provoz mateřské školy pro 252 dětí s jídelnou. Škola nabízí kroužky, mezi které patří výuka angličtiny a hra na flétnu, kroužek výtvarné výchovy a keramiky."
67777601,Podpora rozvoje myslivosti a ochrany přírody.
65278941,"Nabízíme zemědělskou výrobu, prodej prasat."
40687546,"Provádím revize, frézování komínů, vložkování, čištění, montáž kouřovodů spalinových cest plynových spotřebičů i spotřebičů na pevná paliva. I uvádění spotřebičů do provozu. V Praze a okolí."
11268417,Provádím znalecké odhady. Zaměřuji se na nemovité věci.
27614271,"Poskytování kompletního archeologického, exkavačního a postexkavačního servisu."
49274325,"Nabízíme kosmetické ošetření ultrazvukovým přístrojem Skin Scrubber v ucelených sadách, depilaci voskem i cukrovou pastou Pandhy´s. Provádím hloubkové čištění obličeje a dekoltu, ošetření bez hloubkového čištění a ošetření očního okolí a okolí rtů."
74394665,"Nabídka služeb v oblasti statiky pozemních staveb. Návrhy, výpočty, vypracování projektové dokumentace nosných konstrukcí. Nezpracovávám hodnocení technického stavu domů, posudky statických poruch budov; otvory v panelových domech."
7591691,"Dodávky kuřecího, krůtího, hovězího, vepřového masa a uzenin do vašich provozoven"
6709974,"Nabízíme dětské letní tábory s různým zaměřením. Dětské letní tábory s tradicí, již 26 let."
27110575,"Provádění oprav a servisu tvářecích strojů, tabulových nůžek, ohraňovacích lisů, ohýbaček plechu i trubek včetně prodeje náhradních dílů na tyto stroje."
66235596,"Poskytuji všestrannou pomoc a poradenství v oblasti generální právní praxe. Pomohu s vypracováním smluv, advokátní úschovou, podáváním žalob, stížností a opravných prostředků soudům a správním orgánům. Zastupuji při soudních řízeních v občanskoprávních, obchodněprávních i trestněprávních sporech."
5768934,"Jsme malá česká firma, která vyrábí kvalitní sedací vaky pro dobrý odpočinek, pelíšky pro domácí mazlíčky a další produkty."
